yr,height,weight,bmi,gender
0,69.96,10.29,21.02,1
0,71.69,10.89,21.19,1
0,68.54,10.93,23.27,1
0,69.69,9.38,19.31,1
0,71.3,7.93,15.59,1
0,70.84,10.31,20.55,1
0,73.89,11.02,20.19,1
0,70.36,9.49,19.16,1
0,70.55,9.21,18.51,1
0,71.64,10.59,20.62,1
0,72.32,9.42,18.02,1
0,66.68,8.66,19.47,1
0,73.45,9.64,17.87,1
0,73.64,12.62,23.28,1
0,72.47,9.1,17.33,1
0,70.45,8.84,17.81,1
0,69.67,11.61,23.93,1
0,72.24,13.09,25.08,1
0,71.22,10.91,21.51,1
0,72.89,10.52,19.79,1
0,71.35,12.3,24.17,1
0,70.64,9.92,19.89,1
0,70.0,9.67,19.73,1
0,70.87,10.85,21.6,1
0,73.2,10.99,20.5,1
1,81.45,10.98,16.55,1
1,81.73,11.23,16.82,1
1,82.6,11.31,16.57,1
1,81.7,11.39,17.06,1
1,81.48,11.08,16.69,1
1,80.62,11.09,17.06,1
1,82.05,11.21,16.65,1
1,82.16,11.48,17.0,1
1,80.68,11.05,16.98,1
1,81.86,11.01,16.43,1
1,81.56,10.95,16.47,1
1,81.5,10.98,16.53,1
1,82.8,11.2,16.34,1
1,82.09,11.13,16.51,1
1,81.9,11.36,16.93,1
1,82.33,11.41,16.83,1
1,82.97,11.59,16.84,1
1,81.61,10.98,16.48,1
1,81.48,11.11,16.73,1
1,82.43,11.47,16.88,1
1,81.81,11.09,16.56,1
1,82.34,11.41,16.83,1
1,81.03,10.96,16.69,1
1,81.03,11.18,17.03,1
1,81.67,10.94,16.4,1
1,81.86,11.02,16.45,1
1,81.91,11.37,16.95,1
1,81.7,11.07,16.58,1
1,82.39,11.52,16.98,1
1,81.2,11.18,16.96,1
1,81.58,11.36,17.08,1
1,81.9,11.47,17.1,1
1,81.27,11.0,16.65,1
1,81.92,11.33,16.88,1
1,81.81,11.2,16.74,1
1,81.47,10.94,16.49,1
1,82.16,11.65,17.26,1
1,81.23,10.9,16.52,1
1,81.85,11.44,17.07,1
1,81.81,11.12,16.62,1
1,81.75,11.16,16.7,1
1,82.11,11.15,16.54,1
1,82.22,11.3,16.71,1
1,81.2,11.17,16.95,1
1,81.46,11.31,17.04,1
1,81.9,11.38,16.97,1
1,82.07,11.35,16.85,1
1,81.6,11.27,16.93,1
1,81.89,11.03,16.45,1
1,81.37,11.11,16.78,1
1,81.7,11.39,17.07,1
1,81.35,10.99,16.6,1
1,80.84,10.84,16.58,1
1,82.23,11.25,16.64,1
1,80.92,10.86,16.58,1
1,81.01,10.61,16.17,1
1,81.38,10.93,16.51,1
1,82.3,11.15,16.46,1
1,82.04,11.36,16.88,1
1,81.48,11.24,16.93,1
1,82.01,11.21,16.66,1
1,82.15,11.36,16.83,1
1,82.47,11.26,16.56,1
1,82.75,11.24,16.42,1
1,80.79,11.08,16.98,1
2,92.04,13.83,16.33,1
2,91.89,13.64,16.15,1
2,91.9,13.51,16.0,1
2,93.24,14.26,16.4,1
2,91.47,13.69,16.36,1
2,91.65,13.68,16.28,1
2,91.15,13.26,15.96,1
2,91.0,13.46,16.25,1
2,91.14,13.41,16.14,1
2,93.05,14.08,16.27,1
2,91.44,13.47,16.1,1
2,92.26,14.07,16.53,1
2,91.47,13.51,16.15,1
2,91.47,13.54,16.18,1
2,91.49,13.67,16.33,1
2,91.07,13.18,15.89,1
2,91.94,13.57,16.05,1
2,92.15,13.84,16.3,1
2,92.57,13.83,16.13,1
2,90.81,13.37,16.21,1
2,91.01,13.39,16.16,1
2,92.89,13.77,15.95,1
2,91.41,13.55,16.21,1
2,91.86,13.65,16.17,1
2,90.97,13.36,16.15,1
2,93.62,14.14,16.13,1
2,92.0,13.74,16.23,1
2,92.77,14.09,16.37,1
2,91.62,13.55,16.14,1
2,91.87,13.62,16.14,1
2,92.55,14.14,16.51,1
2,90.46,13.39,16.36,1
2,91.6,13.59,16.2,1
2,92.77,13.62,15.83,1
2,91.11,13.22,15.92,1
2,91.89,13.4,15.87,1
2,91.66,13.71,16.31,1
2,92.44,13.88,16.24,1
2,92.24,13.78,16.19,1
2,91.91,13.63,16.13,1
2,91.37,13.66,16.36,1
2,91.31,13.33,15.99,1
2,92.57,13.52,15.78,1
2,93.06,14.11,16.29,1
2,91.99,13.48,15.92,1
2,91.71,13.65,16.23,1
2,91.03,13.34,16.1,1
2,91.21,13.34,16.04,1
2,92.13,13.51,15.92,1
2,91.72,13.28,15.79,1
2,91.57,13.5,16.1,1
2,91.9,13.63,16.14,1
2,92.29,13.76,16.16,1
2,91.58,13.39,15.97,1
2,92.81,13.68,15.89,1
2,91.47,13.41,16.03,1
2,92.22,13.51,15.89,1
2,89.74,13.24,16.43,1
2,92.01,13.77,16.26,1
2,93.02,14.03,16.21,1
2,92.86,13.97,16.2,1
2,91.34,13.43,16.1,1
2,91.65,13.25,15.78,1
2,92.03,13.37,15.78,1
2,91.55,13.58,16.21,1
2,91.02,13.27,16.02,1
2,91.26,13.47,16.17,1
2,92.12,14.07,16.57,1
2,92.67,13.51,15.73,1
